year,gdp_at_constant_mill_rs,gdp_growth_percent,gdp_nominal_mill_rs,gdp_nominal_growth_percent,gdp_usd,cpi,exchange_rate,m2,oil_price,food_price,exports_goods_mill_rs,imports_goods_mill_rs,trade_balance_goods_mill_rs,remittances_mill_rs,current_account_balance_mill_rs,cad_percent_gdp,investment_mill_rs,investment_percent_gdp,total_gfcf_current_mill_rs,general_gfcf_current_mill_rs,growth_ggfc_percent,private_gfcf_current_mill_rs,total_gfcf_constant_mill_rs,general_gfcf_constant_mill_rs,private_gfcf_constant_mill_rs,gg_final_consumption_current_mill_rs,growth_final_consumption_percent,current_expenditure_mill_rs,development_expenditure_mill_rs,total_expenditure_mill_rs,fiscal_balance_mill_rs,fiscal_deficit_percent
FY2017,31914207,4.608602833237807,35552819,8.640995464972413,339.5684718242598,104.8021667,104.7,14580882,65.59403036364344,97.00202529846497,22003,48001,-25998,19351.36,-12270,-3.613409671,5806803.205,16.33289108495166,5198850,1089414,25.52645769672166,3745750,5017178.478697942,1043000.4786979415,3621176,3823257.581447006,10.123661450350664,5197854,1693474,6891328,-1863797,-5.242332542
FY2018,33859620,6.095758544149321,39189810,10.229824532338782,356.78996722505457,109.7211667,109.84,15997162,81.91235124362971,97.64070494599186,24768,55671,-30903,19913.55,-19195,-5.379915851,6689030.751,17.068290841420257,6018885,1359100,24.755143590958074,4211187,5533616.513412749,1235882.513412749,3879013,4308381.435417061,12.688756737819574,5854267,1584057,7438324,-2260381,-5.767777389
FY2019,34916041,3.1200025280850863,43798401,11.759666607212438,321.8340877,117.1795,136.09,17798494,87.94967654,92.48862990335412,24257,51869,-27612,21739.4,-13434,-4.174200469,6788596.657,15.499644969002407,6039644,898531,-33.88779339,4665930,4921408.939631517,704453.9396,3812927,4708219.723881214,9.280475613818261,7104030,1178442,8282472,-3444916,-7.865392164
FY2020,34586665,-0.94333719,47540409,8.543709164177017,300.83154464342215,129.763,158.03,20907798,66.70716686,93.79619101762354,22536.1,43645.1,-21109,23132.31,-4449,-1.47890076,7043368.308865808,14.815539994335783,6230427.314965808,995499,10.791836898226116,4885372.314965808,4592834.189450909,707885.2307473512,3627467.736347608,5604444,19.035311193590275,8532020,1155213,9687233,-3376320,-7.102000321
FY2021,36582482,5.770481195570598,55836225,17.45003077,348.93278965129355,141.3083333,160.02,24297696,70.92370561119513,115.7875568504828,25639,54273,-28634,29450,-2820,-0.808178561,8115623.412,14.534692150284856,7160823.965,1241418,24.703088601796686,5502023.965,4761190.217990168,806805.3855569155,3681813.8324332526,6102658,8.889624019795717,9084010,1238738,10322748,-3403321,-6.095184623
FY2022,38839128,6.168651979381834,66639671.87184203,19.34845500719653,375.54055718141467,158.4808333,177.45,27602634,119.30072926859134,142.29592598246026,32471,72152,-39681,31279,-17484,-4.65568889,10253480.788822947,15.386451494752123,9113942.4,1798062,44.83936917299411,6773294.4,4916894.768613161,935503.9606664847,3689919.807946676,6993690.836312829,14.60073358711611,11521375,1617050,13138425,-5259892,-7.893034063
FY2023,38774731,-0.165804443,84068754.78539245,26.15421478525455,338.9339433596752,204.7275,248.03875926991194,31523253,112.83970594199207,138.3784594808872,27879,51834,-23955,27333,-2235,-0.659420528,11525650.706830211,13.709791153981593,10088075,1945917,8.223020118327407,7597877,4114169,762357,3152507,8241134.576711336,17.836701243948294,14583043,1892992,16476035,-6521445,-7.757275597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,So if GDP growth increases by 1%,,,,,Average(1980-2023),Average(2019-2023),,,,,,,,,,
,,,,,,,,,,,,,,,,Exports,,,,GDP growth,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Imports,,,,GGFC_Growth,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,GGFinal Consumption_Growth,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Current Exp_Growth,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Development Exp_Growth,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,GGFC_Growth,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,GGFinal Consumption_Growth,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Current Exp_Growth,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Development Exp_Growth,,,,,,,,,,,,
